Selected,Order ID,ship-city,index,Date,Status,Fulfilment,Sales Channel ,ship-service-level,Category,Size,Courier Status,Qty,currency,Amount,ship-state,ship-postal-code,ship-country,B2B,fulfilled-by,Day,Month,Year
No,404-5379973-8595502,Bhopal,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,0.101365 - 0.129481,Madhya pradesh,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-5003270-0625960,Mysuru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-5003270-0625960,Mysuru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,3XL,Shipped,< 0.125,INR,≥ 0.150045,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-2883935-9720304,Shahjahanpur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Uttar pradesh,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-2883935-9720304,Shahjahanpur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Uttar pradesh,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-5349890-4781116,Mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Ethnic Dress,S,Shipped,< 0.125,INR,≥ 0.150045,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,407-2553771-8359563,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,< 0.125,INR,≥ 0.150045,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-2961881-5973958,Mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-7465305-4132307,Hassan,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-1102852-7868369,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,< 0.0728844,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-1102852-7868369,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-0855753-0309144,Puducherry,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,< 0.0728844,Puducherry,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-1400206-0642761,Siliguri,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XXL,Shipped,< 0.125,INR,0.101365 - 0.129481,West bengal,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-8056769-9133135,Udaipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,0.129481 - 0.150045,Rajasthan,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-8056769-9133135,Udaipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,0.101365 - 0.129481,Rajasthan,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,402-2907327-7930706,"Vashi, new mumbai.",< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-1857997-5131512,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,≥ 0.150045,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-2268167-1901926,Durgapur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Kurta,XS,Shipped,< 0.125,INR,< 0.0728844,West bengal,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,402-4381407-9797148,Trivandurm,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Kerala,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-6522055-8869905,Secunderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,XL,Shipped,< 0.125,INR,0.129481 - 0.150045,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-1666165-9960339,Haflong,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,< 0.0728844,Assam,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-5517938-0484303,Udaipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,≥ 0.150045,Rajasthan,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-5517938-0484303,Udaipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,≥ 0.150045,Rajasthan,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-5517938-0484303,Udaipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,≥ 0.150045,Rajasthan,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-8733582-8977124,Panjim,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Goa,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-0324578-2264301,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,0.0728844 - 0.101365,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-5711832-4194752,Amalapuram,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Andhra pradesh,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-3030550-3018726,Hubballi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,407-9080142-3447522,Hardoi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Uttar pradesh,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-3930825-8078762,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-9520355-9713926,New delhi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,≥ 0.150045,Delhi,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,402-6107439-5261914,New delhi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Delhi,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,407-2475811-3798704,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Ethnic Dress,XXL,Shipped,< 0.125,INR,≥ 0.150045,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-3850440-3433109,Ahmedabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Gujarat,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-8581089-9761158,Vasai virar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-1729357-8768361,Mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-7724100-5671542,Pandharpur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,0.0728844 - 0.101365,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-7788057-4214720,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,0.101365 - 0.129481,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-1592078-4221163,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,407-1114841-0439507,Hubballi,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,< 0.0728844,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-2251009-4052300,Madurai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Tamil nadu,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-3851186-0833157,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,0.101365 - 0.129481,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-3851186-0833157,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,L,Shipped,< 0.125,INR,0.101365 - 0.129481,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,402-0472347-3753132,Kolkata,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,0.0728844 - 0.101365,West bengal,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-5341711-2456312,Chennai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blouse,M,Shipped,< 0.125,INR,0.101365 - 0.129481,Tamil nadu,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-5341711-2456312,Chennai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Blouse,M,Shipped,< 0.125,INR,0.101365 - 0.129481,Tamil nadu,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-1118996-3534763,Gandhinagar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Gujarat,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-1118996-3534763,Gandhinagar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Gujarat,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-2542347-3821961,Patna,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,M,Shipped,< 0.125,INR,0.0728844 - 0.101365,Bihar,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-1643557-5540352,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Set,XXL,Shipped,< 0.125,INR,≥ 0.150045,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-9205015-0277914,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,S,Shipped,< 0.125,INR,< 0.0728844,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-3713767-2001936,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-1388676-3502701,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,< 0.125,INR,≥ 0.150045,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-1388676-3502701,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XL,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-0940083-3410753,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-0940083-3410753,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,L,Shipped,< 0.125,INR,0.0728844 - 0.101365,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-2933622-4170768,Chirala,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,M,Shipped,< 0.125,INR,0.129481 - 0.150045,Andhra pradesh,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-6670639-9177922,Navi mumbai,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,407-4533309-5323536,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,0.0728844 - 0.101365,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,408-2174943-5585166,Berhampur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,3XL,Shipped,< 0.125,INR,< 0.0728844,Odisha,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-0164370-6233101,Gurugram,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,3XL,Shipped,< 0.125,INR,≥ 0.150045,Haryana,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-0164370-6233101,Gurugram,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Haryana,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-4408320-2573165,Changodar gidc,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Western Dress,3XL,Shipped,< 0.125,INR,≥ 0.150045,Gujarat,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,402-0735823-0253104,Chakia,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,S,Shipped,< 0.125,INR,≥ 0.150045,Bihar,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-8828556-2303540,Bengaluru,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Ethnic Dress,XXL,Shipped,< 0.125,INR,≥ 0.150045,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-3869495-6438708,Pune,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Returned to Seller,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,404-8992661-0134724,Gurugram,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Haryana,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,403-7959908-3206754,Udaipur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,< 0.125,INR,0.101365 - 0.129481,Rajasthan,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,402-1674118-5725952,Firozpur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,0.0728844 - 0.101365,Punjab,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-8336557-9847544,Farooqnagar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,< 0.125,INR,0.101365 - 0.129481,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-8336557-9847544,Farooqnagar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,XXL,Shipped,< 0.125,INR,≥ 0.150045,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-8948943-8146723,Lucknow,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,XXL,Shipped,< 0.125,INR,< 0.0728844,Uttar pradesh,< 0.185215,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,407-6545465-1485942,North kalamassery,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,L,Shipped,< 0.125,INR,< 0.0728844,Kerala,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-3165439-4968335,Bodh gaya,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,< 0.125,INR,≥ 0.150045,Bihar,≥ 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-3303923-2502726,Nagpur,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Maharashtra,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,406-9299908-7760340,Kolar,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Karnataka,0.56368 - 0.691869,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,405-3861441-7332366,Basti,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Set,3XL,Shipped,< 0.125,INR,0.101365 - 0.129481,Uttar pradesh,0.185215 - 0.40401,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,402-8278179-5763508,Nizamabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,< 0.0728844,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,171-0772474-9023556,Hyderabad,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Kurta,M,Shipped,< 0.125,INR,0.0728844 - 0.101365,Telangana,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
No,407-3732906-0676346,Korba,< 0.164477,2022-04-17 12:00:00 - 2022-04-30 12:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,Top,S,Shipped,< 0.125,INR,< 0.0728844,Chhattisgarh,0.40401 - 0.56368,IN,False,Easy Ship,0.5833333 - 0.75,0.166667 - 0.5,single_value
